"front","back","tags"
"Was bedeutet Erziehung?","Bewusstes pädagogisches Handeln, das Entwicklung, Selbstständigkeit und soziale Verantwortung unterstützt.","Grundlagen"
"Was bedeutet Bildung?","Der aktive Prozess, in dem sich ein Mensch Wissen, Fähigkeiten, Werte und ein Verständnis von sich und der Welt aneignet.","Grundlagen"
"Was bedeutet Betreuung?","Verlässliche Sorge für Schutz, Versorgung, Wohlbefinden und alltägliche Begleitung eines Kindes.","Grundlagen"
"Was bedeutet Sozialisation?","Der lebenslange Prozess, in dem ein Mensch gesellschaftliche Normen, Werte, Rollen und Handlungsmuster erwirbt und mitgestaltet.","Grundlagen"
"Was bedeutet Lernen?","Eine durch Erfahrung, Übung oder Einsicht entstehende relativ dauerhafte Veränderung von Wissen, Fähigkeiten oder Verhalten.","Grundlagen"
"Was bedeutet Entwicklung?","Ein fortlaufender Veränderungsprozess körperlicher, kognitiver, emotionaler und sozialer Fähigkeiten über die Lebensspanne.","Grundlagen"
"Was ist eine Entwicklungsaufgabe?","Eine alters- und lebensphasenbezogene Anforderung, die sich aus individuellen Bedürfnissen und gesellschaftlichen Erwartungen ergibt.","Grundlagen"
"Was bedeutet Selbstbildung?","Kinder eignen sich die Welt aktiv aus eigener Initiative und durch die Verarbeitung ihrer Erfahrungen an.","Grundlagen"
"Was bedeutet Ko-Konstruktion?","Kinder und Erwachsene entwickeln Wissen und Bedeutungen gemeinsam im Dialog und durch geteiltes Handeln.","Grundlagen"
"Was bedeutet ganzheitliche Förderung?","Entwicklung wird in ihren körperlichen, emotionalen, sozialen, sprachlichen und kognitiven Zusammenhängen unterstützt.","Grundlagen"
"Was bedeutet Bindung?","Eine langfristige emotionale Beziehung zu vertrauten Personen, die Schutz, Nähe und Sicherheit vermittelt.","Entwicklung"
"Was bedeutet Feinfühligkeit?","Signale eines Kindes wahrnehmen, richtig deuten und zeitnah sowie angemessen darauf reagieren.","Entwicklung"
