front,back,tags
Was ist die Hauptstadt von Frankreich?,Paris,Geografie
Was ist die Hauptstadt von Japan?,Tokio,Geografie
Welcher Ozean ist der größte?,Der Pazifische Ozean,Geografie
Wie heißt der höchste Berg der Erde?,Mount Everest,Geografie
Welcher Fluss fließt durch Wien?,Die Donau,Geografie
Auf welchem Kontinent liegt die Sahara?,Afrika,Geografie
Wie lautet die chemische Formel von Wasser?,H₂O,Naturwissenschaft
Welcher Planet ist der Sonne am nächsten?,Merkur,Naturwissenschaft
Welcher Planet wird der Rote Planet genannt?,Mars,Naturwissenschaft
In welchen Zellorganellen findet die Fotosynthese statt?,In den Chloroplasten,Naturwissenschaft
Wie viele Knochen hat ein erwachsener Mensch normalerweise?,206,Naturwissenschaft
Bei welcher Temperatur siedet Wasser auf Meereshöhe?,Bei 100 Grad Celsius,Naturwissenschaft
Welches chemische Symbol hat Gold?,Au,Naturwissenschaft
"Wie heißt die Kraft, die Körper zur Erde zieht?",Gravitation,Naturwissenschaft
Wie viel ist 7 mal 8?,56,Mathematik
Wie lautet die Quadratwurzel aus 144?,12,Mathematik
Wie groß ist die Winkelsumme eines Dreiecks?,180 Grad,Mathematik
Wie viel Prozent entsprechen drei Vierteln?,75 Prozent,Mathematik
Wer schrieb das Drama Faust?,Johann Wolfgang von Goethe,Kultur
Wie lautet der Plural von Museum?,Museen,Sprache
Was ist das Gegenteil von häufig?,Selten,Sprache
Wie sagt man auf Französisch Guten Tag?,Bonjour,Sprache
Wann trat das deutsche Grundgesetz in Kraft?,Am 23. Mai 1949,Geschichte
Wer betrat als erster Mensch den Mond?,Neil Armstrong,Geschichte
